Report Number,URL,Congress,Accompanies,Title,Committee
H. Rept. 118-280,https://www.congress.gov/congressional-report/118th-congress/house-report/280/1,118th Congress (2023-2024),H.Res. 891,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 5283) TO PROHIBIT THE USE OF FEDERAL FUNDS TO PROVIDE HOUSING TO SPECIFIED ALIENS ON ANY LAND UNDER THE ADMINISTRATIVE JURISDICTION OF THE FEDERAL LAND MANAGEMENT AGENCIES; PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 5961) TO FREEZE CERTAIN IRANIAN FUNDS INVOLVED IN THE 2023 HOSTAGE DEAL BETWEEN THE UNITED STATES AND IRAN, AND FOR OTHER PURPOSES; AND PROVIDING FOR CONSIDERATION OF THE JOINT RESOLUTION (S.J. RES. 32) PROVIDING FOR CONGRESSIONAL DISAPPROVAL UNDER CHAPTER 8 OF TITLE 5, UNITED STATES CODE, OF THE RULE SUBMITTED BY THE BUREAU OF CONSUMER FINANCIAL PROTECTION RELATING TO ""SMALL BUSINESS LENDING UNDER THE EQUAL CREDIT OPPORTUNITY ACT (REGULATION B)""",House Rules
H. Rept. 118-279,https://www.congress.gov/congressional-report/118th-congress/house-report/279/1,118th Congress (2023-2024),H.J.Res. 66,"DISAPPROVING THE RULE SUBMITTED BY THE CONSUMER FINANCIAL PROTECTION BUREAU RELATING TO ""SMALL BUSINESS LENDING UNDER THE EQUAL CREDIT OPPORTUNITY ACT (REGULATION B)""",House Financial Services
H. Rept. 118-278,https://www.congress.gov/congressional-report/118th-congress/house-report/278/1,118th Congress (2023-2024),H.R. 5933,DEFENDING EDUCATION TRANSPARENCY AND ENDING ROGUE REGIMES ENGAGING IN NEFARIOUS TRANSACTIONS ACT,House Education and the Workforce
H. Rept. 118-277,https://www.congress.gov/congressional-report/118th-congress/house-report/277/1,118th Congress (2023-2024),H.R. 5861,BUILDING ON REEMPLOYMENT IMPROVEMENTS TO DELIVER GOOD EMPLOYMENT FOR WORKERS ACT,House Ways and Means
H. Rept. 118-276,https://www.congress.gov/congressional-report/118th-congress/house-report/276/1,118th Congress (2023-2024),H.R. 4688,TO DIRECT THE ADMINISTRATOR OF GENERAL SERVICES TO SELL THE PROPERTY KNOWN AS THE WEBSTER SCHOOL,House Transportation and Infrastructure
H. Rept. 118-275,https://www.congress.gov/congressional-report/118th-congress/house-report/275/1,118th Congress (2023-2024),H.R. 5283,PROTECTING OUR COMMUNITIES FROM FAILURE TO SECURE THE BORDER ACT OF 2023,House Natural Resources
H. Rept. 118-274,https://www.congress.gov/congressional-report/118th-congress/house-report/274/1,118th Congress (2023-2024),,IN THE MATTER OF ALLEGATIONS RELATING TO REPRESENTATIVE GEORGE SANTOS,House Ethics
H. Rept. 118-273,https://www.congress.gov/congressional-report/118th-congress/house-report/273/1,118th Congress (2023-2024),H.Res. 869,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 5893) MAKING APPROPRIATIONS FOR THE DEPARTMENTS OF COMMERCE AND JUSTICE, SCIENCE, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2024, AND FOR OTHER PURPOSES, AND PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 5961) TO FREEZE CERTAIN IRANIAN FUNDS INVOLVED IN THE 2023 HOSTAGE DEAL BETWEEN THE UNITED STATES AND IRAN, AND FOR OTHER PURPOSES",House Rules
H. Rept. 118-272,https://www.congress.gov/congressional-report/118th-congress/house-report/272/1,118th Congress (2023-2024),H.Res. 864,"PROVIDING FOR CONSIDERATION OF THE BILL (H.R. 5894) MAKING APPROPRIATIONS FOR THE DEPARTMENTS OF LABOR, HEALTH AND HUMAN SERVICES, AND EDUCATION, AND RELATED AGENCIES FOR THE FISCAL YEAR ENDING SEPTEMBER 30, 2024, AND FOR OTHER PURPOSES",House Rules
H. Rept. 118-271,https://www.congress.gov/congressional-report/118th-congress/house-report/271/1,118th Congress (2023-2024),H.R. 786,"TO AMEND TITLE 28, UNITED STATES CODE, TO PROVIDE AN ADDITIONAL PLACE FOR HOLDING COURT FOR THE PECOS DIVISION OF THE WESTERN DISTRICT OF TEXAS, AND FOR OTHER PURPOSES",House Judiciary
